date,type,likes_count_fb,comments_count_fb,shares_count_fb,sentiment,valence,post_link
16/02/2016,link,84,271,46,positive,1,https://www.facebook.com/77249349077/posts/10154018440819078
17/02/2016,link,1467,626,358,positive,4,https://www.facebook.com/77249349077/posts/10154020597729078
17/02/2016,photo,379,266,121,positive,2,https://www.facebook.com/77249349077/posts/10154020820864078
17/02/2016,photo,1686,1241,535,neutral,0,https://www.facebook.com/77249349077/posts/10154021128684078
18/02/2016,link,512,1027,70,neutral,0,https://www.facebook.com/77249349077/posts/10154023394414078
22/02/2016,link,1043,570,232,positive,3,https://www.facebook.com/77249349077/posts/10154032273679078
22/02/2016,link,180,244,78,neutral,0,https://www.facebook.com/77249349077/posts/10154032582504078
23/02/2016,photo,396,306,422,neutral,0,https://www.facebook.com/77249349077/posts/10154034169524078
23/02/2016,photo,999,233,298,positive,3,https://www.facebook.com/77249349077/posts/10154034594194078
23/02/2016,photo,1642,309,898,neutral,0,https://www.facebook.com/77249349077/posts/10154034922259078
23/02/2016,video,1011,322,452,positive,1,https://www.facebook.com/77249349077/posts/10154034991829078
23/02/2016,link,103,182,40,positive,1,https://www.facebook.com/77249349077/posts/10154035221284078
24/02/2016,link,1029,301,189,negative,-1,https://www.facebook.com/77249349077/posts/10154036423179078
24/02/2016,photo,639,528,343,negative,-1,https://www.facebook.com/77249349077/posts/10154037102229078
24/02/2016,video,2006,981,4199,neutral,0,https://www.facebook.com/77249349077/posts/10154037416604078
25/02/2016,link,464,95,69,neutral,0,https://www.facebook.com/77249349077/posts/10154038755899078
25/02/2016,link,222,86,60,neutral,0,https://www.facebook.com/77249349077/posts/10154038917234078
25/02/2016,link,374,76,35,negative,-1,https://www.facebook.com/77249349077/posts/10154039431184078
25/02/2016,link,507,381,129,neutral,0,https://www.facebook.com/77249349077/posts/10154039703959078
26/02/2016,link,510,203,89,positive,1,https://www.facebook.com/77249349077/posts/10154041798914078
27/02/2016,link,2151,935,588,neutral,0,https://www.facebook.com/77249349077/posts/10154043440159078
28/02/2016,photo,1258,857,182,positive,4,https://www.facebook.com/77249349077/posts/10154045726389078
